DateKey,ProKey,AreaKey,SlotsAvailable,SlotsBooked,IsOnline,HoursLoggedMins,AcceptedJobs,RejectedJobs
20250101,4,5,1,0,1,193,0,0
20250101,6,7,0,0,0,0,0,0
20250101,10,10,5,1,1,212,1,0
20250101,12,5,0,0,0,0,0,0
20250101,14,1,0,0,0,0,0,0
20250101,16,1,0,0,0,0,0,0
20250101,18,6,5,0,1,79,0,0
20250101,19,5,0,0,0,0,0,0
20250101,23,2,3,0,1,107,0,0
20250101,28,17,0,0,0,0,0,0
20250101,29,2,0,0,0,0,0,0
20250101,30,10,0,0,0,0,0,0
20250101,32,10,2,1,1,351,1,0
20250101,33,3,5,0,1,72,0,0
20250101,37,7,0,0,0,0,0,0
20250101,41,13,0,0,0,0,0,0
20250101,42,5,0,0,0,0,0,0
20250101,50,9,3,2,1,338,2,1
20250101,53,16,5,0,1,130,0,1
20250101,54,10,0,0,0,0,0,0
20250101,55,4,6,2,1,2105,1,2
20250101,56,16,0,0,0,0,0,0
20250101,57,1,0,0,0,0,0,0
20250101,59,1,0,0,0,0,0,0
20250101,60,13,0,0,0,0,0,0
20250101,61,10,0,0,0,0,0,0
20250101,67,17,0,0,0,0,0,0
20250101,74,6,0,0,0,0,0,0
20250101,77,3,0,0,0,0,0,0
20250101,79,3,0,0,0,0,0,0
20250101,82,16,0,0,0,0,0,0
20250101,89,1,0,0,0,0,0,0
20250101,93,14,0,0,0,0,0,0
20250101,94,1,0,0,0,0,0,0
20250101,95,14,0,0,0,0,0,0
20250101,98,1,0,0,0,0,0,0
20250101,102,14,3,0,1,201,0,0
20250101,105,8,0,0,0,0,0,0
20250101,107,20,0,0,0,0,0,0
20250101,108,10,4,0,1,168,0,1
20250101,111,8,0,0,0,0,0,0
20250101,112,6,4,1,1,228,1,0
20250101,119,2,0,0,0,0,0,0
20250101,127,2,2,0,1,108,0,0
20250101,132,3,0,0,0,0,0,0
20250101,134,18,0,0,0,0,0,0
20250101,140,6,0,0,0,0,0,0
20250101,141,13,0,0,0,0,0,0
20250101,142,7,0,0,0,0,0,0
20250101,143,2,0,0,0,0,0,0
20250101,145,16,3,1,1,186,1,0
20250101,147,17,0,0,0,0,0,0
20250101,148,2,0,0,0,0,0,0
20250101,150,1,0,0,0,0,0,0
20250101,153,10,0,0,0,0,0,0
20250101,155,10,0,0,0,0,0,0
20250101,158,14,0,0,0,0,0,0
20250101,160,7,0,0,0,0,0,0
20250101,162,15,0,0,0,0,0,0
20250101,164,3,0,0,0,0,0,0
20250101,165,9,2,0,1,156,0,0
20250101,167,3,0,0,0,0,0,0
20250101,171,5,4,1,1,493,1,0
20250101,184,13,1,1,1,224,1,1
20250101,185,2,0,0,0,0,0,0
20250101,188,6,4,2,1,593,2,0
20250101,191,2,0,0,0,0,0,0
20250101,195,6,0,0,0,0,0,0
20250101,199,3,0,0,0,0,0,0
20250101,203,5,2,0,1,228,0,1
20250101,204,1,0,0,0,0,0,0
20250101,207,15,3,0,1,159,0,0
20250101,208,7,0,0,0,0,0,0
20250101,215,2,0,0,0,0,0,0
20250101,217,10,2,0,1,226,0,0
20250101,218,8,0,0,0,0,0,0
20250101,220,1,0,0,0,0,0,0
20250101,221,19,3,1,1,496,1,0
20250101,222,14,0,0,0,0,0,0
20250101,226,4,0,0,0,0,0,0
